,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
 , ,   ,   ,Master's, D ,
0371,SHAKESPEARE GORDON VLADO ARCHI, D ," 60,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3121,PANORAMA HOLDINGS LLC, D ," 48,000 ",Master's, D ,
0371,JETSTREAM SOFTWARE INC, D ," 160,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7248,WETRIUM LLC D/B/A MEDSCRIPT PH, D ," 69,950 ",Master's, D ,
6170,SEQUENTIAL TECH INTERNATIONAL, D ," 108,347 ",Master's, D ,
0001,HITECH INFO GROUP LLC, D ," 33,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6229,SKYWATER TECHNOLOGY FOUNDRY IN, D ," 84,836 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
4939,LOGOS GLOBALTECH LLC, D ," 101,851 ",Bachelor's, D ,
6363,SFI OIL GAS PRODUCTION SYSTEMS, D ," 39,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8086,HMI NORTH AMERICA INC, D ," 75,525 ",Master's, D ,
0582,LINEMONEY INC, D ," 39,264 ",Master's, D ,
2182,CAFETO SOFTWARE USA LLC, D ," 87,500 ",Bachelor's, D ,
5214,TIMESQUARE IT INC, D ," 71,500 ",Master's, D ,
8575,ACCUPARA INC, D ," 130,000 ",Bachelor's, D ,
2952,OPTIMUM SEISMIC INC, D ," 25,461 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
8604,RSC CAPITAL MANAGEMENT L P, D ," 132,784 ",Master's, D ,
6708,LEHIGH HANSON SERVICES LLC, D ," 81,046 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6614,PROMEETS TECH CORP, D ," 131,000 ",Master's, D ,
9437,BLACKWOOD SEVEN US INC, D ," 67,500 ",Master's, D ,
8653,BLUE ROCK CONSULTING LLC, D ," 92,510 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9987,SHRI DIVYA DRUGS LLC DBA DILLE, D ," 87,200 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9618,COCA-COLA SOUTHWEST BEVERAGES, D ," 136,409 ",Bachelor's, D ,
6190,WAILIAN EDUCATION GROUP INC, D ," 51,139 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5768,SILICON VALLEY TECHNOLOGY, D ," 77,269 ",Master's, D ,
0545,STARK ASSOCIATES LLC DBA STARK, D ," 82,000 ",Master's, D ,
2147,GLOYOO INC, D ," 59,675 ",Master's, D ,
8988,ARGON INVESTMENT MANAGEMENT LL, D ," 320,000 ",Master's, D ,
1198,ATYPON SYSTEMS LLC, D ," 135,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
4591,PLAYTIKA HOLDING CORP, D ," 151,200 ",Associate Degree, D ,
6753,THROTLE INC, D ," 97,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1391,BSASPEC INC, D ," 67,500 ",Master's, D ,
2145,MARKOV CORPORATION, D ," 167,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1248,BORDRIN MOTOR CORP INC, D ," 114,250 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
7014,SICK PROD & COMPETENCE CTR AME, D ," 99,543 ",Master's, D ,
8666,DOVE SCHOOLS INC, D ," 33,610 ",Bachelor's, D ,
3903,CHINA ENTERTAINMENT GROUP INC, D ," 57,430 ",Master's, D ,
7655,BIZRATE INSIGHTS INC, D ," 103,633 ",Master's, D ,
9622,MARTO CAPITAL LP, D ," 65,749 ",Master's, D ,
4059,KANTAR LLC, D ," 67,235 ",Master's, D ,
7886,SUNPOWER ENTERPRISE LLC, D ," 30,844 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3445,PLUSAI INC, D ," 155,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1607,STATIONERY POINT INC, D ," 24,050 ",Master's, D ,
3158,GREE INTL ENTERTAINMENT INC, D ," 117,500 ",Master's, D ,
8598,IMC-HOSPITALISTS PC, D ," 175,715 ",Professional Degree, D ,
2851,EXTRANOMICAL TOURS LLC, D ," 60,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7303,SERVICEAIDE INC, D ," 178,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4459,HEALTHWAYS SC LLC, D ," 97,525 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2164,M VAIL & ASSOCIATES PC, D ," 55,068 ",Master's, D ,
1883,UGE USA INC, D ," 59,927 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2748,VOLKSCIENCE INC, D ," 142,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9385,MORYA GR LLC/DBA/ASPIRE HEALTH, D ," 36,400 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6399,MYEYEDR OPTOMETRY OF W VIRGINI, D ," 153,125 ",Professional Degree, D ,
4494,DEEP SENTINEL CORP, D ," 125,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2584,GLOBALITKONNECT LLC, D ," 62,432 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6161,RAVZ INC, D ," 70,357 ",Master's, D ,
5282,APPLIED BOLTING TECH PRODUCTS, D ," 97,156 ",Bachelor's, D ,
0113,PEOPLE CENTER INC D/B/A RIPPLI, D ," 140,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3352,NEURAFLASH LLC, D ," 157,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7943,HVJ NORTH TEXAS ? CHELLIAH CON, D ," 63,960 ",Master's, D ,
1282,CEREBRO DATA INC, D ," 130,000 ",Master's, D ,
5464,URBAN LEAF CO DBA THE PRODUCE, D ," 55,725 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7564,VASS INC, D ," 78,000 ",Bachelor's, D ,
1276,MASTERMIND PLACEMENT SERVICES, D ," 35,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6003,HERTZ HERSON CPA LLP, D ," 62,883 ",Master's, D ,
6092,CEREBRAS SYSTEMS INC, D ," 177,500 ",Doctorate, D ,
2642,NYCASOFT INC, D ," 69,875 ",Master's, D ,
6019,IFYTECH INC, D ," 67,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9808,NEW HORIZON PLUS INC, D ," 40,675 ",Master's, D ,
0474,GARDNER CAPITAL MANAGEMENT LLC, D ," 180,000 ",Master's, D ,
0564,BROKER GENIUS INC, D ," 68,750 ",Master's, D ,
7358,DEEPMAP INC, D ," 135,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9236,PENSIAMO INC, D ," 90,000 ",Bachelor's, D ,
3579,SAMSUNG SDS AMERICA INC, D ," 128,675 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
3626,CONNECTIQ LABS INC, D ," 61,500 ",Master's, D ,
9808,TECHMIND SOFTWARE SOLUTIONS LL, D ," 85,500 ",Master's, D ,
6193,LIVE PLANET INC, D ," 160,000 ",Master's, D ,
3566,REARC LLC, D ," 128,541 ",Master's, D ,
4783,BEACON PLATFORM INCORPORATED, D ," 105,000 ",Master's, D ,
1111,PIXELOGIC MEDIA PARTNERS LLC, D ," 69,904 ",Master's, D ,
7141,SPHOORTHI INC, D ," 70,000 ",Master's, D ,
5342,RESPOND SOFTWARE INC, D ," 167,500 ",Bachelor's, D ,
5093,MOBVOI US LLC, D ," 96,500 ",Master's, D ,
2794,STARR STRATEGIC HOLDINGS LLC, D ," 105,000 ",Master's, D ,
9329,SPENSYS INC, D ," 62,660 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4657,PLANTILLA SOLUTIONS LLC, D ," 60,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8149,DATATRON TECHNOLOGIES INC, D ," 110,000 ",Master's, D ,
2982,AMICUS GLOBAL IT INC, D ," 59,436 ",Master's, D ,
1141,HH RESEARCH LLC, D ," 49,937 ",Master's, D ,
8544,AU FAIT TECH INC, D ," 80,000 ",Master's, D ,
8590,PNS SOFTWARE INC, D ," 69,550 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4762,QUALESCE LLC, D ," 88,151 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3986,TONY TONG PC D/B/A UNION DENTA, D ," 101,774 ",Professional Degree, D ,
0842,BRAINCO INC, D ," 46,950 ",Master's, D ,
8636,CARRIEREQ INC, D ," 87,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4649,NEW AVON LLC, D ," 102,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2815,CONGENSYS CORP, D ," 69,000 ",Master's, D ,
8398,ALPS EMPLOYEE MANAGEMENT LLC, D ," 102,500 ",Bachelor's, D ,
3431,MORCARE LLC, D ," 104,000 ",Master's, D ,
9153,COLUMBIA IT SERVICES LLC, D ," 45,500 ",Bachelor's, D ,
6850,DEFI SOLUTIONS LLC, D ," 112,513 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0175,VELODYNE LIDAR INC, D ," 149,085 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9294,ZENYSIS TECHNOLOGIES INC, D ," 117,500 ",Bachelor's, D ,
6770,NCHENG LLP CERTIFIED PUBLIC AC, D ," 55,568 ",Master's, D ,
9864,SPEAK MUSIC INC, D ," 140,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0194,MALIN BOUTIQUE LLC, D ," 67,549 ",Master's, D ,
7000,MERIDAR LAW FIRM P C, D ," 56,190 ",Master's, D ,
4029,DOXEL INC, D ," 125,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
4330,CLOUDLANES INC, D ," 129,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3037,LEOLABS INC, D ," 104,998 ",Doctorate, D ,
0888,LISTENT AMERICA CORP, D ," 69,000 ",Master's, D ,
3020,INSYS DEVELOPMENT CO INC, D ," 59,972 ",Master's, D ,
3412,NASSAU ASSET MANAGEMENT LLC, D ," 102,024 ",Master's, D ,
2236,VEYO LLC, D ," 100,001 ",Bachelor's, D ,
8211,TOTAL TRANSIT ENTERPRISES LLC, D ," 83,250 ",Bachelor's, D ,
8831,KNERON INC, D ," 110,000 ",Master's, D ,
6436,STELLUS TECHNOLOGIES INC, D ," 132,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2927,TEKSPIKE LLC, D ," 64,000 ",Bachelor's, D ,
7195,KANSARA SYSTEMS INC, D ," 92,907 ",Bachelor's, D ,
1056,LOMA LINDA UNIV SHARED SERVICE, D ," 67,236 ",Master's, D ,
9915,NEW MOUNTAIN CAPITAL LLC, D ," 175,000 ",Bachelor's, D ,
0730,CHENIERE ENERGY INC, D ," 156,969 ",Bachelor's, D ,
3573,NOMIS SOLUTIONS INC, D ," 169,181 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3008,AUTONOMIC SOFTWARE INC, D ," 94,204 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3726,WEBCETERA LP DBA EZLYNX, D ," 88,750 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0409,FLEXSTEEL PIPELINE TECHNOLOGIE, D ," 120,775 ",Master's, D ,
5942,ASIAN AMERICAN CHEMICAL DEPEND, D ," 34,320 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2771,SCHWANS SHARED SERVICES LLC, D ," 76,854 ",Master's, D ,
3291,H E EQUIPMENT SERVICES INC, D ," 90,428 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0219,ZIMMER US INC, D ," 83,050 ",Master's, D ,
3109,ORTHO MONTANA PSC, D ," 330,000 ",Professional Degree, D ,
1774,CARROLL COLLEGE, D ," 44,847 ",Doctorate, D ,
6578,NE MONTANA HLTH SVCS INC, D ," 52,665 ",Bachelor's, D ,
5229,REG LIFE SCIENCES LLC, D ," 79,953 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9280,TEAM BELVEDERE LLC, D ," 97,959 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2856,THE WOODLANDS PREPARATORY SCHO, D ," 60,377 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1419,BAYMINDS INC, D ," 77,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5008,SCORIA CAPITAL PARTNERS LP, D ," 150,000 ",Bachelor's, D ,
7911,LOB COM INC, D ," 142,500 ",Master's, D ,
4168,COLLIBRA INC, D ," 135,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1513,G TEKT NORTH AMERICA CORPORATI, D ," 58,950 ",Master's, D ,
7997,BIG RIVER STEEL LLC, D ," 137,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0456,KLK FORTE IND INC DBA HONEY PU, D ," 51,000 ",Bachelor's, D ,
0558,ICON PAYMENTS LLC, D ," 59,930 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2152,ZESTFINANCE INC, D ," 117,500 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
9067,NSD INTERNATIONAL INC, D ," 76,976 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8212,CRICKET WIRELESS LLC, D ," 119,050 ",Bachelor's, D ,
5252,VWR CHEMICALS LLC, D ," 65,312 ",Master's, D ,
4427,CIVITAS LEARNING INC, D ," 99,000 ",Master's, D ,
8837,BELL AND HOWELL LLC, D ," 99,301 ",Master's, D ,
5775,MATRIX PDM ENGINEERING INC, D ," 78,514 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9284,BOCOUP LLC, D ," 102,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2103,KINDER MORGAN INC, D ," 72,016 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7175,POINTSTATE CAPITAL LP, D ," 107,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6185,MP MEGA MIAMI INC, D , 100 ,No Diploma, D ,
4053,GUGGENHEIM PARTNERS INVESTMENT, D ," 162,500 ",Master's, D ,
5524,MCURE HEALTH SOLUTIONS INC, D ," 43,316 ",Bachelor's, D ,
1532,ANGELLIST LLC, D ," 127,500 ",Bachelor's, D ,
7350,OSCAR DE LA RENTA LLC, D ," 87,500 ",Bachelor's, D ,
9770,DIKSHA TECHNOLOGIES LLC, D ," 87,603 ",Master's, D ,
0317,INVESTINDUSTRIAL INC, D ," 232,500 ",Bachelor's, D ,
0126,BENU NETWORKS INC, D ," 117,926 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2762,OCTILLION POWER SYSTEMS INC, D ," 83,300 ",Master's, D ,
7206,CAREPEOPLE HOME HEALTH INC, D ," 34,300 ",Bachelor's, D ,
6945,CTS GLOBAL LOGISTICS INC, D ," 51,844 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8843,CHILD MIND INST INC, D ," 45,627 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
8825,SAI-MED PARTNERS LLC, D ," 97,500 ",Master's, D ,
1909,MISSION HEALTHCARE, D ," 65,050 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
2796,A2Q2 CORPORATION, D ," 77,250 ",Master's, D ,
8039,MR ENGINEERING CONSULTANTS INC, D ," 80,000 ",Bachelor's, D ,
7390,RUDRAAKSH LLC, D ," 47,500 ",Bachelor's, D ,
3634,JAND INC DBA WARBY PARKER, D ," 110,000 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
5643,MAXTA INC, D ," 149,500 ",Master's, D ,
4374,SOFTWARE CONSORTIUM LLC, D ," 70,000 ",Bachelor's, D ,
2981,REPET INC, D ," 26,664 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2613,GRAVITY MEDIA LLC, D ," 65,000 ",Master's, D ,
0757,BEVERLY HILLS LUXURY INTERIORS, D ," 62,250 ",Master's, D ,
9417,THE BROOKLYN WALDORF SCHOOL, D ," 65,350 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4695,TIANHAI ELECTRIC N A INC, D ," 66,428 ",Master's, D ,
9690,MUBEA NORTH AMERICA SHARED SER, D ," 80,000 ",Master's, D ,
8085,MAJOR COMMUNICATIONS INC DBA B, D ," 37,008 ",Master's, D ,
7831,KOCH AG AND ENERGY SOLUTIONS L, D ," 103,000 ",Master's, D ,
6233,SENTIENT TECHNOLOGIES USA LLC, D ," 147,500 ",Doctorate, D ,
6766,URBAN DESIGN CONSULTING ENGINE, D ," 24,718 ",Master's, D ,
6699,SELERIX SYSTEMS INC, D ," 82,057 ",Bachelor's, D ,
6518,LEARNVEST INC, D ," 127,500 ",Master's, D ,
0657,GROWING ENERGY LABS INC, D ," 110,000 ",Master's, D ,
2337,DS IQ INC, D ," 105,000 ",Master's, D ,
5782,NEELA INC, D ," 77,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9275,3S NETWORK INC, D ," 48,256 ",Bachelor's, D ,
8147,CYBERTEC INC, D ," 80,500 ",Master's, D ,
2267,HDX INTERNATIONAL INC, D ," 45,000 ",Master's, D ,
9129,PBS ENGINEERS INC, D ," 76,800 ",Master's, D ,
9809,STRONGAUTH INC, D ," 85,000 ",Master's, D ,
9191,CONSOLIDATED ELEC DISTRIBUTORS, D ," 100,000 ",Bachelor's, D ,
7476,FIDELITY NATIONAL MGT SERVICES, D ," 107,547 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3536,ALPHA & OMEGA SEMICONDUCTOR IN, D ," 78,529 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6619,ADVA OPTICAL NETWORKING N AM I, D ," 91,248 ",Master's, D ,
3869,DIGITAL ENERGY INC, D ," 62,000 ",Master's, D ,
5870,SUN FRESH INTERNATIONAL LLC, D ," 101,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3961,AVARA PHARMACEUTICAL SERVICES, D ," 90,182 ",Master's, D ,
3245,SCHOOLCITY INC, D ," 61,060 ",Bachelor's, D ,
7328,AUDIBLE MAGIC CORP, D ," 129,375 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4170,INTERRA INFO TECHNOLOGIES INC, D ," 75,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3902,FUTURE DIAL INC, D ," 32,901 ",Bachelor's, D ,
1420,BIOVISION INC, D ," 53,657 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
5439,SILICON VALLEY UNIV, D ," 47,840 ",Master's, D ,
2262,CUTERA INC, D ," 161,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
5727,DYNAMIC NETWORK FACTORY INC, D ," 105,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4340,HYPERCOMP INC, D ," 91,600 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
1290,CREATUS INC, D ," 138,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8671,BIZFLOW CORP, D ," 115,823 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7174,CCS ASSOCIATES INC, D ," 66,824 ",Master's, D ,
6789,MONOLITHIC POWER SYSTEMS INC, D ," 100,000 ",Master's, D ,
3694,FOVEON INC, D ," 104,769 ",Master's, D ,
2546,BAY AREA COMPLIANCE LABORATORI, D ," 75,000 ",Master's, D ,
0621,CISCO SYSTEMS CAPITAL CORP, D ," 106,888 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5167,SYLVAN CORPORATION, D ," 139,000 ",Master's, D ,
8588,APPLESEED MONTESSORI SCHOOL, D ," 21,944 ",Master's, D ,
6674,GLOBAL INFOTECH CORP, D ," 91,520 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6458,INTUITIVE SURGICAL INC, D ," 138,354 ",Master's, D ,
4057,SILICON MOTION INC, D ," 134,602 ",Master's, D ,
1346,OPLINK COMMUNICATIONS LLC US D, D ," 82,087 ",Master's, D ,
7545,ARASAN CHIP SYSTEMS INC, D ," 99,000 ",Master's, D ,
5505,NETIQ CORPORATION, D ," 97,500 ",Bachelor's, D ,
3498,APTIFY CORPORATION, D ," 124,350 ",Master's, D ,
3439,CK TECHNOLOGIES INC, D ," 62,323 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7469,OPSOL INTEGRATORS INC, D ," 72,000 ",Bachelor's, D ,
7406,GOLDEN HILLS ORTHOPEDIC & SPOR, D ," 77,500 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6262,AKT AMERICA INC, D ," 103,777 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
3612,RAJAPPAN & MEYER CONSULTING EN, D ," 71,219 ",Master's, D ,
4368,VERDESIAN LIFE SCIENCES U S LL, D ," 125,480 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
6021,ASA COMPUTERS INC, D ," 75,511 ",Bachelor's, D ,
5998,MINERVA NETWORKS INC, D ," 104,000 ",Bachelor's, D ,
5298,BEECHWOOD COMPUTING LIMITED, D ," 115,000 ",Bachelor's, D ,
0008,PALPILOT INTERNATIONAL CORP, D ," 50,944 ",Master's, D ,
7094,LIN ENGINEERING INC, D ," 70,494 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8013,CENTRAL CA FOUNDATION OF HEALT, D ," 251,350 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
2329,PARAMIT CORPORATION, D ," 91,075 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2456,GROUPWARE TECHNOLOGY INC, D ," 165,789 ",Master's, D ,
8044,RESERVOIR ENGINEERING RESEARCH, D ," 63,475 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
5519,PROLIFICS TESTING INC, D ," 95,650 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8182,HOT TOPIC INC, D ," 124,817 ",Bachelor's, D ,
2737,TSMC NORTH AMERICA, D ," 122,912 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
6501,G6 HOSPITALITY LLC, D ," 111,691 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1991,ATMEL CORP, D ," 109,401 ",Bachelor's, D ,
5190,TAKARA BIO USA INC FORMERLY KN, D ," 84,631 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
9588,GN HEARING CARE CORPORATION, D ," 80,200 ",Doctorate, D ,
0342,LCG CONSULTING, D ," 86,000 ",Bachelor's, D ,
1412,ECENTA AMERICA INC, D ," 114,204 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4593,LIQUIDATE DIRECT LLC DBA SOLID, D ," 74,500 ",Master's, D ,
9061,OVERWATCH SYSTEMS LIMITED, D ," 99,421 ",Master's, D ,
0467,ALLEVARD SOGEFI USA INC, D ," 82,979 ",Bachelor's, D ,
7204,1LIFE HEALTHCARE INC, D ," 137,728 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
0642,HELLENIC MARINE LLC, D ," 70,918 ",Bachelor's, D ,
8360,SWIFT TECHNICAL SERVICES LLC, D ," 112,900 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3855,NET MATRIX SOLUTIONS INC, D ," 88,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0730,DE NORA WATER TECHS TEXAS LLC, D ," 82,493 ",Master's, D ,
0209,TEXAS FIRST IND CORPORATION IN, D ," 48,629 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0312,LE MISTRAL LLC, D ," 48,450 ",Bachelor's, D ,
0001,BITSWAVE INC, D ," 63,157 ",Master's, D ,
8895,COVERIS FLEXIBLES US LLC, D ," 80,000 ",Master's, D ,
4196,SUPERIOR ENERGY SERVICES LLC, D ," 85,422 ",Master's, D ,
0755,GL NOBLE DENTON INC, D ," 75,064 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9826,DICENTRAL CORPORATION, D ," 57,470 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7574,LLOYDS REGISTER QUALITY ASSURA, D ," 77,684 ",Master's, D ,
7440,VATANI CONSULTING ENGINEERS PL, D ," 85,363 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5522,PHARM-OLAM INTERNATIONAL LTD, D ," 135,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9353,FIRST CONTINENTAL MORTAGE LTD, D ," 54,480 ",Master's, D ,
0808,PRATHAM USA, D ," 78,900 ",Master's, D ,
8879,AIA ENGINEERS LTD, D ," 71,843 ",Master's, D ,
3825,C C RESERVOIRS INC, D ," 86,750 ",Master's, D ,
6492,OPTIMAL STATEGIX GROUP INC, D ," 87,500 ",Master's, D ,
5846,TRANOCEAN OFFSHORE DEEPWATER D, D ," 116,702 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5200,ONCOLOGY CONSULTANTS P A, D ," 78,355 ",Bachelor's, D ,
7427,ADVANCED MEDICAL PHYSICS, D ," 158,000 ",Master's, D ,
6008,MATTRESS FIRM INC, D ," 130,000 ",Master's, D ,
3197,MARIN USA INC, D ," 81,120 ",Master's, D ,
1383,OSHA LIANG LLP, D ," 92,747 ",Master's, D ,
0377,ENERGY ALLOYS LLC, D ," 111,410 ",Bachelor's, D ,
9897,KONGSBERG DIGITAL INC, D ," 115,914 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9618,TESSELLATIONS INC, D ," 77,500 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
0259,KOMPUTER PLUS PERIPHERALS INC, D ," 35,730 ",Bachelor's, D ,
6372,SULZER CHEMTECH USA INC, D ," 96,988 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1723,HCC SERVICE COMPANY INC, D ," 116,155 ",Master's, D ,
1511,INTEGRANET PHYSICIAN RESOURCE, D ," 81,000 ",Master's, D ,
9100,CRC EVANS PIPELINE INTL INC, D ," 92,900 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5927,SHIPCOM WIRELESS INC, D ," 71,750 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3321,LIAO KIN & COMPANY P C, D ," 38,782 ",Master's, D ,
8260,PATON ENGINEERS AND CONSTRUCTO, D ," 107,380 ",Master's, D ,
3436,TRENDSETTER ENGINEERING INC, D ," 87,625 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1534,SER NINOS CHARTER SCHOOL, D ," 46,890 ",Master's, D ,
5355,CHANG-SHENG INC, D ," 37,601 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0691,HRSS LLP, D ," 50,086 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0576,RISK ASSESSMENT & MGT GR INC, D ," 58,708 ",Master's, D ,
2326,DNV GL BUSINESS ASSURANCE USA, D ," 107,820 ",Bachelor's, D ,
